word,length
porttitor,9
curae,5
odio,4
sociosqu,8
volutpat,8
interdum,8
pretium,7
hendrerit,9
sagittis,8
netus,5
velit,5
hymenaeos,9
lorem,5
nam,3
vitae,5
molestie,8
penatibus,9
non,3
placerat,8
quam,4
arcu,4
ante,4
dui,3
sit,3
fermentum,9
erat,4
ornare,6
quisque,7
facilisi,8
laoreet,7
per,3
malesuada,9
bibendum,8
ridiculus,9
rhoncus,7
diam,4
in,2
fringilla,9
natoque,7
tempus,6
praesent,8
enim,4
commodo,7
vivamus,7
ultricies,9
vel,3
ultrices,8
nullam,6
donec,5
taciti,6
potenti,7
accumsan,8
mauris,6
magnis,6
magna,5
curabitur,9
justo,5
lacus,5
mattis,6
egestas,7
consequat,9
conubia,7
aliquet,7
semper,6
ligula,6
dolor,5
eros,4
vestibulum,10
tincidunt,9
inceptos,8
neque,5
pede,4
auctor,6
purus,5
congue,6
venenatis,9
eu,2
urna,4
cras,4
iaculis,7
etiam,5
imperdiet,9
habitant,8
aenean,6
hac,3
eget,4
vehicula,8
gravida,7
dictumst,8
porta,5
aptent,6
sapien,6
integer,7
suscipit,8
nisi,4
ad,2
mus,3
felis,5
vulputate,9
sodales,7
turpis,6
faucibus,8
mollis,6
elementum,9
pulvinar,8
cum,3
dapibus,7
convallis,9
montes,6
ac,2
nibh,4
phasellus,9
luctus,6
varius,6
euismod,7
maecenas,8
platea,6
leo,3
sem,3
litora,6
feugiat,7
lectus,6
lacinia,7
lobortis,8
class,5
nostra,6
metus,5
nulla,5
nec,3
dis,3
dignissim,9
posuere,7
nisl,4
tristique,9
nascetur,8
proin,5
parturient,10
ipsum,5
morbi,5
dictum,6
fames,5
facilisis,9
at,2
cursus,6
sed,3
tempor,6
orci,4
aliquam,7
habitasse,9
torquent,8
mi,2
blandit,7
et,2
a,1
libero,6
"",0
quis,4
tortor,6
cubilia,7
nunc,4
ut,2
tellus,6
fusce,5
augue,5
primis,6
id,2
eleifend,8
sociis,6
rutrum,6
viverra,7
massa,5
pharetra,8
nonummy,7
est,3
elit,4
amet,4
senectus,8
duis,4
adipiscing,10
risus,5
maiores_que_10,7
